Model                                                                                                      , Total Parameters (B), Max Tokens, Pooling Method, Is Instructed, Query Prefix       , Document Prefix
[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct)                          ,                7.069,    32768.0, last          , yes          , n/a                , n/a
[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B)                                              ,                7.568,    40960.0, last          , yes          , n/a                , n/a
[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral)                        ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0)            ,                0.568,     8192.0, cls           , no           , 'query: '          , n/a
[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en)                     ,                0.137,     8192.0, mean          , no           , n/a                , n/a
[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral)                           ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b)                           ,                7.505,    32768.0, mean          , yes          , n/a                , n/a
[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised)                                     ,                0.568,     8192.0, cls           , no           , n/a                , n/a
[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R)                                   ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base)                              ,                0.149,     8192.0, cls           , no           , n/a                , n/a
[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B)                                          ,                0.596,    40960.0, last          , yes          , n/a                , n/a
[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct)                ,                7.111,    32768.0, last          , yes          , n/a                , n/a
[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base)                          ,                0.305,     8192.0, cls           , no           , n/a                , n/a
[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4)                                     ,                3.935,    32768.0, mean          , no           , n/a                , n/a
[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en)                   ,                0.033,     8192.0, mean          , no           , n/a                , n/a
[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano)                 ,                0.212,     8192.0, last          , no           , n/a                , n/a
[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b)                                ,                1.543,    32768.0, last          , yes          , n/a                , n/a
[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5)                                    ,                0.137,     8192.0, cls           , no           , n/a                , n/a
